age,age_squared,age_x_education,bag_age_mean,bag_age_range,bag_capital_activity_ratio,bag_capital_gain_max,bag_capital_gain_mean,bag_capital_gain_std,bag_capital_loss_max,bag_capital_loss_mean,bag_capital_loss_std,bag_duration_mean,bag_education_mean,bag_education_range,bag_education_std,bag_full_time_ratio,bag_has_capital_activity,bag_high_ed_ratio,bag_hours_mean,bag_hours_range,bag_hours_std,bag_low_ed_ratio,bag_member_count,bag_net_capital_max,bag_net_capital_mean,bag_senior_ratio,bag_size,bag_size_bag,bag_unemployed_ratio,bag_unique_occupations,bag_unique_relationships,bag_unique_workclass,bag_young_ratio,capital_activity_flag,capital_both,capital_cv,capital_dominance,capital_gain,capital_loss,capital_per_capita,capital_per_hour,capital_ratio,capital_vs_bag,dependency_ratio,education_num,education_target_enc,education_tier,education_vs_bag,education_vs_bag_max,education_x_occupation,education_x_workclass,has_capital_gain,has_capital_loss,hours_inequality,hours_per_ed,hours_per_week,interview_mode,interviewer_id,is_primary_earner,log_capital_gain,log_capital_loss,log_net_capital_asset,low_ed_low_hours,marital_status,native_country_target_enc,negative_net_capital,net_capital_asset,net_capital_clean,no_capital_low_ed,occupation_target_enc,race_target_enc,relationship,sex,survey_duration_mins,workclass_target_enc,works_full_time,works_overtime,year_of_birth,young_low_ed
46,2116,598,1955.2857142857142,49.0,0.0,0,0.0,0.0,0,0.0,0.0,46.42857142857143,11.285714285714286,5.0,2.2146697055682827,1.0,0,0.42857142857142855,42.857142857142854,35.0,3.9339789623472163,0.42857142857142855,7,0,0.0,0.0,7,7,0.0,5,2,3,0.2857142857142857,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.875,13,1.121037667320979,2,1.7142857142857135,-0.5003839912825692,15.021791148426974,15.747391511683356,0,0,0.08969984604700494,2.857142857142857,40,0,1328,1,0.0,0.0,0.0,0,2,1.04414817336935,0,0,0,0,1.1555223960328442,1.0528559545142508,0,1,34,1.2113378085910274,1,0,1948,0
46,2116,598,1951.5,20.0,0.25,15024,3756.0,7512.0,0,0.0,0.0,38.0,11.0,10.0,2.309401076758503,1.0,1,0.5,44.25,30.0,7.228416147400479,0.5,4,15024,3756.0,0.25,4,4,0.0,3,3,1,0.25,1,0,1.9994676603673143,3.9989353207346285,15024,0,939.0,268.2857142857143,15024.0,11268.0,0.8,13,1.121037667320979,2,2.0,-0.3094010767585029,15.432411524443967,13.046501011616225,1,0,0.15974400325746915,3.9285714285714284,55,0,1360,1,9.617470759403409,0.0,9.617470759403409,0,2,1.04414817336935,0,15024,15024,0,1.1871085788033822,1.0528559545142508,0,1,35,1.0035770008935558,1,1,1948,0
28,784,252,1964.75,30.0,0.0,0,0.0,0.0,0,0.0,0.0,45.75,10.25,5.0,2.5,1.0,0,0.25,43.0,25.0,6.0,0.75,4,0,0.0,0.0,4,4,0.0,4,2,2,0.75,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.8,9,0.9838673729142733,1,-1.25,-3.75,6.756299583821043,9.032193008042002,0,0,0.13636363636363635,4.0,40,0,1387,1,0.0,0.0,0.0,0,2,1.04414817336935,0,0,0,0,0.7506999537578937,0.8538484836768099,0,1,57,1.0035770008935558,1,0,1966,0
52,2704,468,1953.2857142857142,30.0,0.14285714285714285,1797,256.7142857142857,679.2021579975814,0,0.0,0.0,48.714285714285715,9.142857142857142,5.0,3.023715784073818,0.7142857142857143,1,0.14285714285714285,37.285714285714285,25.0,10.435744434622855,0.42857142857142855,7,1797,256.7142857142857,0.2857142857142857,7,7,0.0,5,4,2,0.42857142857142855,0,0,2.6354850920083535,6.972838137472284,0,0,36.673469387755105,0.0,0.0,-256.7142857142857,1.1666666666666667,9,0.9838673729142733,1,-0.14285714285714235,-3.1665729269309604,9.160473813522422,9.032193008042002,0,0,0.27257541433716415,4.5,45,0,1480,0,0.0,0.0,0.0,0,2,0.8826994913368305,0,0,0,0,1.0178304237247136,1.0528559545142508,0,1,46,1.0035770008935558,1,1,1942,0
49,2401,637,1953.5714285714287,30.0,0.2857142857142857,7298,1536.2857142857142,2848.4944394238464,0,0.0,0.0,41.714285714285715,11.714285714285714,7.0,2.1380899352993956,0.5714285714285714,1,0.42857142857142855,32.857142857142854,26.0,13.421730780449186,0.2857142857142857,7,7298,1536.2857142857142,0.14285714285714285,7,7,0.0,3,4,4,0.14285714285714285,1,0,1.852937559331561,4.747328315212341,7298,0,219.46938775510202,178.0,7298.0,5761.714285714286,1.4,13,1.121037667320979,2,1.2857142857142865,-0.8523756495851091,15.432411524443967,15.747391511683356,1,0,0.396422428114533,2.857142857142857,40,0,1473,1,8.895492631451633,0.0,8.895492631451633,0,2,1.04414817336935,0,7298,7298,0,1.1871085788033822,1.0528559545142508,0,1,57,1.2113378085910274,1,0,1945,0
28,784,364,1953.5,46.0,0.3333333333333333,99999,17017.333333333332,40661.26713060805,0,0.0,0.0,43.0,11.666666666666666,7.0,2.8047578623950176,1.0,1,0.6666666666666666,47.666666666666664,40.0,6.713171133426189,0.16666666666666666,6,99999,17017.333333333332,0.0,6,6,0.0,5,2,4,0.16666666666666666,0,0,2.389262587245601,5.875957300949956,0,0,2836.222222222222,0.0,0.0,-17017.333333333332,0.8571428571428571,13,1.121037667320979,2,1.333333333333334,-1.4714245290616836,13.46000210450431,14.505916990990714,0,0,0.13794187260464774,3.4285714285714284,48,0,1031,0,0.0,0.0,0.0,0,4,1.04414817336935,0,0,0,0,1.0353847772695624,1.0528559545142508,1,0,39,1.1158397685377472,1,1,1966,0
47,2209,611,1964.2857142857142,32.0,0.0,0,0.0,0.0,0,0.0,0.0,34.285714285714285,10.714285714285714,13.0,2.627691364061218,0.7142857142857143,0,0.42857142857142855,37.714285714285715,46.0,16.898858794943184,0.42857142857142855,7,0,0.0,0.0,7,7,0.0,3,4,2,0.5714285714285714,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,1.1666666666666667,13,1.121037667320979,2,2.2857142857142865,-0.3419770783469316,15.021791148426974,13.046501011616225,0,0,0.43650188769225934,3.5714285714285716,50,0,1045,1,0.0,0.0,0.0,0,2,1.04414817336935,0,0,0,0,1.1555223960328442,1.0528559545142508,0,1,31,1.0035770008935558,1,1,1947,0
35,1225,315,1953.857142857143,38.0,0.2857142857142857,7298,1042.5714285714287,2758.3847240213404,1977,282.42857142857144,747.2357631392422,47.0,11.571428571428571,4.0,2.760262237369417,0.8571428571428571,1,0.42857142857142855,41.0,10.0,9.763879010584539,0.42857142857142855,7,7298,760.1428571428571,0.0,7,7,0.0,5,3,2,0.14285714285714285,0,0,2.6432160257562467,6.993292265571526,0,0,148.9387755102041,0.0,0.0,-1042.5714285714287,1.0,9,0.9838673729142733,1,-2.571428571428571,-5.331690808797989,6.756299583821043,9.032193008042002,0,0,0.23247330977582234,3.5,35,0,1312,0,0.0,0.0,0.0,0,2,1.04414817336935,0,0,0,0,0.7506999537578937,1.0528559545142508,0,1,48,1.0035770008935558,1,0,1959,0
49,2401,441,1959.8333333333333,30.0,0.16666666666666666,0,0.0,0.0,1977,329.5,807.1068702470571,45.333333333333336,10.333333333333334,5.0,2.8047578623950176,0.6666666666666666,1,0.16666666666666666,36.666666666666664,25.0,11.254628677422755,0.6666666666666666,6,0,-329.5,0.0,6,6,0.0,6,4,2,0.5,1,0,0.0,0.0,0,1977,0.0,0.0,0.0,0.0,1.2,9,0.9838673729142733,1,-1.333333333333334,-4.138091195728352,8.255409617318742,9.032193008042002,0,1,0.2987954516129935,2.5,25,0,1071,1,0.0,7.589841512182657,0.0,0,2,1.04414817336935,1,-1977,-1977,0,0.917267735257638,1.0528559545142508,5,0,54,1.0035770008935558,0,0,1945,0
41,1681,369,1948.6666666666667,17.0,0.0,0,0.0,0.0,0,0.0,0.0,45.666666666666664,10.666666666666666,4.0,1.5055453054181622,1.0,0,0.16666666666666666,47.166666666666664,10.0,12.496666222103665,0.16666666666666666,6,0,0.0,0.16666666666666666,6,6,0.0,5,3,3,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.8571428571428571,9,0.9838673729142733,1,-1.666666666666666,-3.1722119720848285,9.080200943479456,9.032193008042002,0,0,0.25944635755232526,5.0,50,0,1350,1,0.0,0.0,0.0,0,2,1.04414817336935,0,0,0,0,1.0089112159421618,1.0528559545142508,0,1,45,1.0035770008935558,1,1,1953,0
30,900,270,1953.5714285714287,36.0,0.2857142857142857,7688,1098.2857142857142,2905.7908684949393,1902,271.7142857142857,718.8884276635501,48.42857142857143,11.428571428571429,5.0,2.29906813420444,0.8571428571428571,1,0.5714285714285714,40.714285714285715,45.0,17.42330131092924,0.42857142857142855,7,7688,826.5714285714286,0.14285714285714285,7,7,0.0,7,3,4,0.0,0,0,2.643344519748483,6.993632228719949,0,0,156.89795918367346,0.0,0.0,-1098.2857142857142,1.0,9,0.9838673729142733,1,-2.428571428571429,-4.7276395627758685,9.080200943479456,9.699769512001273,0,0,0.41768188074145435,5.0,50,0,1160,0,0.0,0.0,0.0,0,2,1.04414817336935,0,0,0,0,1.0089112159421618,1.0528559545142508,0,1,54,1.0777521680001414,1,1,1964,0
31,961,279,1951.0,33.0,0.0,0,0.0,0.0,0,0.0,0.0,38.5,10.25,10.0,1.8929694486000912,1.0,0,0.25,45.0,32.0,10.0,0.5,4,0,0.0,0.0,4,4,0.0,4,3,3,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.8,9,0.9838673729142733,1,-1.25,-3.142969448600091,10.68397720923044,9.032193008042002,0,0,0.21739130434782608,4.0,40,0,1146,1,0.0,0.0,0.0,0,0,1.04414817336935,0,0,0,0,1.1871085788033822,1.0528559545142508,4,0,42,1.0035770008935558,1,0,1963,0
44,1936,572,1955.6666666666667,30.0,0.16666666666666666,3103,517.1666666666666,1266.794445309367,0,0.0,0.0,37.833333333333336,10.666666666666666,5.0,2.065591117977289,1.0,1,0.3333333333333333,43.333333333333336,25.0,6.0553007081949835,0.3333333333333333,6,3103,517.1666666666666,0.16666666666666666,6,6,0.0,5,3,2,0.3333333333333333,0,0,2.4447625190917344,5.988420714055967,0,0,86.19444444444444,0.0,0.0,-517.1666666666666,0.8571428571428571,13,1.121037667320979,2,2.333333333333334,0.26774221535604514,13.115845807248103,13.046501011616225,0,0,0.1365857302600372,3.9285714285714284,55,0,1330,0,0.0,0.0,0.0,0,2,1.04414817336935,0,0,0,0,1.0089112159421618,1.0528559545142508,0,1,42,1.0035770008935558,1,1,1950,0
29,841,261,1954.6666666666667,34.0,0.3333333333333333,99999,17947.833333333332,40314.158844835976,0,0.0,0.0,44.5,11.166666666666666,4.0,3.060501048303475,1.0,1,0.3333333333333333,48.333333333333336,58.0,5.163977794943223,0.5,6,99999,17947.833333333332,0.16666666666666666,6,6,0.0,4,2,2,0.3333333333333333,0,0,2.2460601252543424,5.5713370414047345,0,0,2991.305555555555,0.0,0.0,-17947.833333333332,0.8571428571428571,9,0.9838673729142733,1,-2.166666666666666,-5.227167714970141,10.399701564295597,9.032193008042002,0,0,0.10467522557317344,5.0,50,0,1156,0,0.0,0.0,0.0,0,4,1.04414817336935,0,0,0,0,1.1555223960328442,1.0528559545142508,1,0,51,1.0035770008935558,1,1,1965,0
25,625,325,1952.0,30.0,0.0,0,0.0,0.0,0,0.0,0.0,60.0,10.666666666666666,5.0,2.0816659994661326,1.0,0,0.3333333333333333,44.333333333333336,25.0,9.29157324317757,0.3333333333333333,3,0,0.0,0.3333333333333333,3,3,0.0,3,3,3,0.3333333333333333,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.75,13,1.121037667320979,2,2.333333333333334,0.2516673338672013,15.021791148426974,14.010778184001838,0,0,0.20496117448185816,2.857142857142857,40,0,1117,1,0.0,0.0,0.0,0,0,1.04414817336935,0,0,0,0,1.1555223960328442,1.0528559545142508,4,0,64,1.0777521680001414,1,0,1969,0
32,1024,352,1953.7142857142858,40.0,0.14285714285714285,1506,215.14285714285714,569.2144963518962,0,0.0,0.0,46.142857142857146,10.0,8.0,1.9148542155126764,0.8571428571428571,1,0.14285714285714285,43.714285714285715,10.0,12.983506020002016,0.42857142857142855,7,1506,215.14285714285714,0.0,7,7,0.0,4,3,3,0.0,0,0,2.6335105581383167,6.9676140118968934,0,0,30.73469387755102,0.0,0.0,-215.14285714285714,1.0,11,1.043616212670264,1,1.0,-0.9148542155126764,8.605711590204532,11.039347009829115,0,0,0.2903659493291186,3.3333333333333335,40,0,1484,0,0.0,0.0,0.0,0,2,1.04414817336935,0,0,0,0,0.782337417291321,1.0528559545142508,0,1,40,1.0035770008935558,1,0,1962,0
42,1764,546,1953.6,30.0,0.0,0,0.0,0.0,0,0.0,0.0,41.0,11.0,5.0,1.8708286933869707,1.0,0,0.4,44.0,25.0,9.617692030835672,0.2,5,0,0.0,0.2,5,5,0.0,4,4,4,0.4,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.8333333333333334,13,1.121037667320979,2,2.0,0.12917130661302934,10.170386424787173,13.046501011616225,0,0,0.21372648957412604,4.285714285714286,60,0,1484,1,0.0,0.0,0.0,0,0,1.04414817336935,0,0,0,0,0.782337417291321,1.0528559545142508,4,1,34,1.0035770008935558,1,1,1952,0
18,324,180,1965.25,21.0,0.0,0,0.0,0.0,0,0.0,0.0,39.25,8.0,6.0,3.366501646120692,0.75,0,0.0,37.5,69.0,12.583057392117917,0.5,4,0,0.0,0.0,4,4,0.0,4,3,1,0.5,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,1.0,10,0.9939053399066965,1,2.0,-1.366501646120692,7.82337417291321,10.035770008935557,0,0,0.3268326595355303,1.8181818181818181,20,0,1352,1,0.0,0.0,0.0,0,4,1.04414817336935,0,0,0,0,0.782337417291321,1.0528559545142508,3,0,37,1.0035770008935558,0,0,1976,0
27,729,351,1960.3333333333333,19.0,0.16666666666666666,20051,3341.8333333333335,8185.786472090917,0,0.0,0.0,48.0,11.333333333333334,6.0,1.8618986725025257,0.6666666666666666,1,0.5,43.333333333333336,35.0,25.232254490367417,0.16666666666666666,6,20051,3341.8333333333335,0.16666666666666666,6,6,0.0,5,4,2,0.6666666666666666,0,0,2.448756984222242,5.99820511542105,0,0,556.9722222222223,0.0,0.0,-3341.8333333333335,1.2,13,1.121037667320979,2,1.666666666666666,-0.19523200583585965,15.021791148426974,13.046501011616225,0,0,0.5691485975270846,1.0714285714285714,15,0,1175,0,0.0,0.0,0.0,0,4,1.04414817336935,0,0,0,0,1.1555223960328442,1.0528559545142508,2,0,34,1.0035770008935558,0,0,1967,0
60,3600,300,1954.1666666666667,16.0,0.3333333333333333,14344,3826.3333333333335,6198.489676257166,0,0.0,0.0,50.333333333333336,10.333333333333334,4.0,3.444802848737017,1.0,1,0.3333333333333333,45.0,35.0,7.745966692414834,0.3333333333333333,6,14344,3826.3333333333335,0.16666666666666666,6,6,0.0,6,3,2,0.3333333333333333,0,0,1.6195322268569499,3.7477791325553036,0,0,637.7222222222223,0.0,0.0,-3826.3333333333335,0.8571428571428571,5,0.8554613443130139,0,-5.333333333333334,-8.778136182070352,4.840830708596414,5.017885004467779,0,0,0.1683905802698877,7.5,45,0,1179,0,0.0,0.0,0.0,0,2,1.04414817336935,0,0,0,1,0.9681661417192828,1.0528559545142508,0,1,43,1.0035770008935558,1,1,1934,0
40,1600,360,1946.8,59.0,0.2,9386,1877.2,4197.546807362605,0,0.0,0.0,39.0,9.6,6.0,4.037325847637271,0.8,1,0.4,36.8,48.0,20.27806696901852,0.6,5,9386,1877.2,0.2,5,5,0.0,5,2,3,0.0,0,0,2.234877439762861,4.997337876690448,0,0,375.44,0.0,0.0,-1877.2,1.0,9,0.9838673729142733,1,-0.5999999999999996,-4.63732584763727,10.68397720923044,10.675298250818047,0,0,0.5364567981221832,6.0,60,0,1044,0,0.0,0.0,0.0,0,2,1.04414817336935,0,0,0,0,1.1871085788033822,1.0528559545142508,0,1,62,1.186144250090894,1,1,1954,0
45,2025,405,1953.2,24.0,0.2,0,0.0,0.0,1887,377.4,843.8920547084207,40.0,11.6,4.0,2.9664793948382653,0.8,1,0.4,44.4,20.0,11.696153213770756,0.4,5,0,-377.4,0.2,5,5,0.0,4,2,2,0.2,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,1.0,9,0.9838673729142733,1,-2.5999999999999996,-5.5664793948382645,8.583590859233839,9.032193008042002,0,0,0.2576245201271092,5.2,52,0,1431,1,0.0,0.0,0.0,0,2,1.04414817336935,0,0,0,0,0.9537323176926488,1.0528559545142508,0,1,11,1.0035770008935558,1,1,1949,0
44,1936,572,1948.7142857142858,56.0,0.2857142857142857,7688,1098.2857142857142,2905.7908684949393,1980,282.85714285714283,748.3696565582699,41.57142857142857,11.857142857142858,2.0,2.853569193634026,0.8571428571428571,1,0.5714285714285714,46.42857142857143,25.0,10.293317295817756,0.42857142857142855,7,7688,815.4285714285714,0.2857142857142857,7,7,0.0,6,2,3,0.14285714285714285,0,0,2.643344519748483,6.993632228719949,0,0,156.89795918367346,0.0,0.0,-1098.2857142857142,1.0,13,1.121037667320979,2,1.1428571428571423,-1.7107120507768836,15.432411524443967,13.046501011616225,0,0,0.2170277743094105,2.857142857142857,40,0,1321,0,0.0,0.0,0.0,0,2,1.04414817336935,0,0,0,0,1.1871085788033822,1.0528559545142508,0,1,37,1.0035770008935558,1,0,1950,0
34,1156,476,1964.2857142857142,22.0,0.2857142857142857,99999,14866.142857142857,37570.60170056979,0,0.0,0.0,46.0,11.285714285714286,4.0,2.214669705568283,0.8571428571428571,1,0.2857142857142857,45.0,24.0,13.228756555322953,0.0,7,99999,14866.142857142857,0.0,7,7,0.0,4,4,2,0.42857142857142855,0,0,2.527089573402407,6.726174690112424,0,0,2123.734693877551,0.0,0.0,-14866.142857142857,1.0,14,1.2170465072387975,2,2.7142857142857135,0.4996160087174304,16.17731354445982,14.050078012509783,0,0,0.28758166424615117,3.6666666666666665,55,0,1035,0,0.0,0.0,0.0,0,2,1.04414817336935,0,0,0,0,1.1555223960328442,1.0528559545142508,0,1,68,1.0035770008935558,1,1,1960,0
47,2209,470,1945.8,31.0,0.4,15024,3004.8,6718.937058791368,1887,377.4,843.8920547084207,51.6,10.2,6.0,1.0954451150103321,1.0,1,0.0,41.0,5.0,2.2360679774997902,0.2,5,15024,2627.4,0.4,5,5,0.0,4,2,3,0.2,1,0,2.235324059748276,4.998336549337946,0,1887,600.96,0.0,0.0,-3004.8,0.8333333333333334,10,0.9939053399066965,1,-0.1999999999999993,-1.2954451150103314,10.089112159421617,10.777521680001414,0,1,0.053239713749995005,3.6363636363636362,40,0,1343,0,0.0,7.543273346705446,0.0,0,2,1.04414817336935,1,-1887,-1887,0,1.0089112159421618,1.0528559545142508,0,1,39,1.0777521680001414,1,0,1947,0
48,2304,432,1957.6,30.0,0.2,7688,1537.6,3438.178122203677,0,0.0,0.0,44.2,10.0,5.0,1.2247448713915892,1.0,1,0.0,46.0,25.0,8.215838362577493,0.4,5,7688,1537.6,0.0,5,5,0.0,5,3,3,0.2,0,0,2.23461466411262,4.996750292473678,0,0,307.52,0.0,0.0,-1537.6,0.8333333333333334,9,0.9838673729142733,1,-1.0,-2.2247448713915894,8.583590859233839,9.032193008042002,0,0,0.17480507154420197,4.0,40,0,1117,0,0.0,0.0,0.0,0,2,1.04414817336935,0,0,0,0,0.9537323176926488,1.0528559545142508,0,1,35,1.0035770008935558,1,0,1946,0
34,1156,510,1964.4,30.0,0.2,15024,3004.8,6718.937058791368,0,0.0,0.0,48.4,10.4,5.0,2.9664793948382653,0.4,1,0.2,28.0,25.0,13.038404810405298,0.4,5,15024,3004.8,0.0,5,5,0.0,4,3,2,0.4,1,0,2.235324059748276,4.998336549337946,15024,0,600.96,366.4390243902439,15024.0,12019.2,1.6666666666666667,15,1.275710722277246,2,4.6,1.6335206051617344,17.332835940492664,17.79216375136341,1,0,0.4496001658760448,2.5,40,0,1228,1,9.617470759403409,0.0,9.617470759403409,0,2,1.04414817336935,0,15024,15024,0,1.1555223960328442,1.0528559545142508,0,1,51,1.186144250090894,1,0,1960,0
