age,age_squared,age_x_education,bag_age_mean,bag_age_range,bag_capital_gain_max,bag_capital_gain_mean,bag_capital_loss_max,bag_capital_loss_mean,bag_duration_mean,bag_education_mean,bag_education_range,bag_education_std,bag_has_capital_activity,bag_hours_mean,bag_hours_range,bag_hours_std,bag_member_count,bag_net_capital_max,bag_net_capital_mean,bag_size,bag_size_bag,bag_unique_occupations,bag_unique_relationships,bag_unique_workclass,capital_activity_flag,capital_gain,capital_loss,capital_per_hour,capital_ratio,education_num,education_target_enc,education_tier,has_capital_gain,has_capital_loss,hours_per_week,interview_mode,interviewer_id,log_capital_gain,log_capital_loss,log_net_capital_asset,marital_status,native_country_target_enc,net_capital_asset,net_capital_clean,occupation_target_enc,race_target_enc,relationship,sex,survey_duration_mins,workclass_target_enc,works_full_time,works_overtime,year_of_birth
46,2116,598,1955.2857142857142,49.0,0,0.0,0,0.0,46.42857142857143,11.285714285714286,5.0,2.2146697055682827,0,42.857142857142854,35.0,3.9339789623472163,7,0,0.0,7,7,5,2,3,0,0,0,0.0,0.0,13,1.121037667320979,2,0,0,40,0,1328,0.0,0.0,0.0,2,1.04414817336935,0,0,1.1555223960328442,1.0528559545142508,0,1,34,1.2113378085910274,1,0,1948
46,2116,598,1951.5,20.0,15024,3756.0,0,0.0,38.0,11.0,10.0,2.309401076758503,1,44.25,30.0,7.228416147400479,4,15024,3756.0,4,4,3,3,1,1,15024,0,268.2857142857143,15024.0,13,1.121037667320979,2,1,0,55,0,1360,9.617470759403409,0.0,9.617470759403409,2,1.04414817336935,15024,15024,1.1871085788033822,1.0528559545142508,0,1,35,1.0035770008935558,1,1,1948
28,784,252,1964.75,30.0,0,0.0,0,0.0,45.75,10.25,5.0,2.5,0,43.0,25.0,6.0,4,0,0.0,4,4,4,2,2,0,0,0,0.0,0.0,9,0.9838673729142733,1,0,0,40,0,1387,0.0,0.0,0.0,2,1.04414817336935,0,0,0.7506999537578937,0.8538484836768099,0,1,57,1.0035770008935558,1,0,1966
52,2704,468,1953.2857142857142,30.0,1797,256.7142857142857,0,0.0,48.714285714285715,9.142857142857142,5.0,3.023715784073818,1,37.285714285714285,25.0,10.435744434622855,7,1797,256.7142857142857,7,7,5,4,2,0,0,0,0.0,0.0,9,0.9838673729142733,1,0,0,45,0,1480,0.0,0.0,0.0,2,0.8826994913368305,0,0,1.0178304237247136,1.0528559545142508,0,1,46,1.0035770008935558,1,1,1942
49,2401,637,1953.5714285714287,30.0,7298,1536.2857142857142,0,0.0,41.714285714285715,11.714285714285714,7.0,2.1380899352993956,1,32.857142857142854,26.0,13.421730780449186,7,7298,1536.2857142857142,7,7,3,4,4,1,7298,0,178.0,7298.0,13,1.121037667320979,2,1,0,40,0,1473,8.895492631451633,0.0,8.895492631451633,2,1.04414817336935,7298,7298,1.1871085788033822,1.0528559545142508,0,1,57,1.2113378085910274,1,0,1945
28,784,364,1953.5,46.0,99999,17017.333333333332,0,0.0,43.0,11.666666666666666,7.0,2.8047578623950176,1,47.666666666666664,40.0,6.713171133426189,6,99999,17017.333333333332,6,6,5,2,4,0,0,0,0.0,0.0,13,1.121037667320979,2,0,0,48,0,1031,0.0,0.0,0.0,4,1.04414817336935,0,0,1.0353847772695624,1.0528559545142508,1,0,39,1.1158397685377472,1,1,1966
47,2209,611,1964.2857142857142,32.0,0,0.0,0,0.0,34.285714285714285,10.714285714285714,13.0,2.627691364061218,0,37.714285714285715,46.0,16.898858794943184,7,0,0.0,7,7,3,4,2,0,0,0,0.0,0.0,13,1.121037667320979,2,0,0,50,0,1045,0.0,0.0,0.0,2,1.04414817336935,0,0,1.1555223960328442,1.0528559545142508,0,1,31,1.0035770008935558,1,1,1947
35,1225,315,1953.857142857143,38.0,7298,1042.5714285714287,1977,282.42857142857144,47.0,11.571428571428571,4.0,2.760262237369417,1,41.0,10.0,9.763879010584539,7,7298,760.1428571428571,7,7,5,3,2,0,0,0,0.0,0.0,9,0.9838673729142733,1,0,0,35,0,1312,0.0,0.0,0.0,2,1.04414817336935,0,0,0.7506999537578937,1.0528559545142508,0,1,48,1.0035770008935558,1,0,1959
49,2401,441,1959.8333333333333,30.0,0,0.0,1977,329.5,45.333333333333336,10.333333333333334,5.0,2.8047578623950176,1,36.666666666666664,25.0,11.254628677422755,6,0,-329.5,6,6,6,4,2,1,0,1977,0.0,0.0,9,0.9838673729142733,1,0,1,25,0,1071,0.0,7.589841512182657,0.0,2,1.04414817336935,-1977,-1977,0.917267735257638,1.0528559545142508,5,0,54,1.0035770008935558,0,0,1945
41,1681,369,1948.6666666666667,17.0,0,0.0,0,0.0,45.666666666666664,10.666666666666666,4.0,1.5055453054181622,0,47.166666666666664,10.0,12.496666222103665,6,0,0.0,6,6,5,3,3,0,0,0,0.0,0.0,9,0.9838673729142733,1,0,0,50,0,1350,0.0,0.0,0.0,2,1.04414817336935,0,0,1.0089112159421618,1.0528559545142508,0,1,45,1.0035770008935558,1,1,1953
30,900,270,1953.5714285714287,36.0,7688,1098.2857142857142,1902,271.7142857142857,48.42857142857143,11.428571428571429,5.0,2.29906813420444,1,40.714285714285715,45.0,17.42330131092924,7,7688,826.5714285714286,7,7,7,3,4,0,0,0,0.0,0.0,9,0.9838673729142733,1,0,0,50,0,1160,0.0,0.0,0.0,2,1.04414817336935,0,0,1.0089112159421618,1.0528559545142508,0,1,54,1.0777521680001414,1,1,1964
31,961,279,1951.0,33.0,0,0.0,0,0.0,38.5,10.25,10.0,1.8929694486000912,0,45.0,32.0,10.0,4,0,0.0,4,4,4,3,3,0,0,0,0.0,0.0,9,0.9838673729142733,1,0,0,40,0,1146,0.0,0.0,0.0,0,1.04414817336935,0,0,1.1871085788033822,1.0528559545142508,4,0,42,1.0035770008935558,1,0,1963
44,1936,572,1955.6666666666667,30.0,3103,517.1666666666666,0,0.0,37.833333333333336,10.666666666666666,5.0,2.065591117977289,1,43.333333333333336,25.0,6.0553007081949835,6,3103,517.1666666666666,6,6,5,3,2,0,0,0,0.0,0.0,13,1.121037667320979,2,0,0,55,0,1330,0.0,0.0,0.0,2,1.04414817336935,0,0,1.0089112159421618,1.0528559545142508,0,1,42,1.0035770008935558,1,1,1950
29,841,261,1954.6666666666667,34.0,99999,17947.833333333332,0,0.0,44.5,11.166666666666666,4.0,3.060501048303475,1,48.333333333333336,58.0,5.163977794943223,6,99999,17947.833333333332,6,6,4,2,2,0,0,0,0.0,0.0,9,0.9838673729142733,1,0,0,50,0,1156,0.0,0.0,0.0,4,1.04414817336935,0,0,1.1555223960328442,1.0528559545142508,1,0,51,1.0035770008935558,1,1,1965
25,625,325,1952.0,30.0,0,0.0,0,0.0,60.0,10.666666666666666,5.0,2.0816659994661326,0,44.333333333333336,25.0,9.29157324317757,3,0,0.0,3,3,3,3,3,0,0,0,0.0,0.0,13,1.121037667320979,2,0,0,40,0,1117,0.0,0.0,0.0,0,1.04414817336935,0,0,1.1555223960328442,1.0528559545142508,4,0,64,1.0777521680001414,1,0,1969
32,1024,352,1953.7142857142858,40.0,1506,215.14285714285714,0,0.0,46.142857142857146,10.0,8.0,1.9148542155126764,1,43.714285714285715,10.0,12.983506020002016,7,1506,215.14285714285714,7,7,4,3,3,0,0,0,0.0,0.0,11,1.043616212670264,1,0,0,40,0,1484,0.0,0.0,0.0,2,1.04414817336935,0,0,0.782337417291321,1.0528559545142508,0,1,40,1.0035770008935558,1,0,1962
42,1764,546,1953.6,30.0,0,0.0,0,0.0,41.0,11.0,5.0,1.8708286933869707,0,44.0,25.0,9.617692030835672,5,0,0.0,5,5,4,4,4,0,0,0,0.0,0.0,13,1.121037667320979,2,0,0,60,0,1484,0.0,0.0,0.0,0,1.04414817336935,0,0,0.782337417291321,1.0528559545142508,4,1,34,1.0035770008935558,1,1,1952
18,324,180,1965.25,21.0,0,0.0,0,0.0,39.25,8.0,6.0,3.366501646120692,0,37.5,69.0,12.583057392117917,4,0,0.0,4,4,4,3,1,0,0,0,0.0,0.0,10,0.9939053399066965,1,0,0,20,0,1352,0.0,0.0,0.0,4,1.04414817336935,0,0,0.782337417291321,1.0528559545142508,3,0,37,1.0035770008935558,0,0,1976
27,729,351,1960.3333333333333,19.0,20051,3341.8333333333335,0,0.0,48.0,11.333333333333334,6.0,1.8618986725025257,1,43.333333333333336,35.0,25.232254490367417,6,20051,3341.8333333333335,6,6,5,4,2,0,0,0,0.0,0.0,13,1.121037667320979,2,0,0,15,0,1175,0.0,0.0,0.0,4,1.04414817336935,0,0,1.1555223960328442,1.0528559545142508,2,0,34,1.0035770008935558,0,0,1967
60,3600,300,1954.1666666666667,16.0,14344,3826.3333333333335,0,0.0,50.333333333333336,10.333333333333334,4.0,3.444802848737017,1,45.0,35.0,7.745966692414834,6,14344,3826.3333333333335,6,6,6,3,2,0,0,0,0.0,0.0,5,0.8554613443130139,0,0,0,45,0,1179,0.0,0.0,0.0,2,1.04414817336935,0,0,0.9681661417192828,1.0528559545142508,0,1,43,1.0035770008935558,1,1,1934
40,1600,360,1946.8,59.0,9386,1877.2,0,0.0,39.0,9.6,6.0,4.037325847637271,1,36.8,48.0,20.27806696901852,5,9386,1877.2,5,5,5,2,3,0,0,0,0.0,0.0,9,0.9838673729142733,1,0,0,60,0,1044,0.0,0.0,0.0,2,1.04414817336935,0,0,1.1871085788033822,1.0528559545142508,0,1,62,1.186144250090894,1,1,1954
45,2025,405,1953.2,24.0,0,0.0,1887,377.4,40.0,11.6,4.0,2.9664793948382653,1,44.4,20.0,11.696153213770756,5,0,-377.4,5,5,4,2,2,0,0,0,0.0,0.0,9,0.9838673729142733,1,0,0,52,0,1431,0.0,0.0,0.0,2,1.04414817336935,0,0,0.9537323176926488,1.0528559545142508,0,1,11,1.0035770008935558,1,1,1949
44,1936,572,1948.7142857142858,56.0,7688,1098.2857142857142,1980,282.85714285714283,41.57142857142857,11.857142857142858,2.0,2.853569193634026,1,46.42857142857143,25.0,10.293317295817756,7,7688,815.4285714285714,7,7,6,2,3,0,0,0,0.0,0.0,13,1.121037667320979,2,0,0,40,0,1321,0.0,0.0,0.0,2,1.04414817336935,0,0,1.1871085788033822,1.0528559545142508,0,1,37,1.0035770008935558,1,0,1950
34,1156,476,1964.2857142857142,22.0,99999,14866.142857142857,0,0.0,46.0,11.285714285714286,4.0,2.214669705568283,1,45.0,24.0,13.228756555322953,7,99999,14866.142857142857,7,7,4,4,2,0,0,0,0.0,0.0,14,1.2170465072387975,2,0,0,55,0,1035,0.0,0.0,0.0,2,1.04414817336935,0,0,1.1555223960328442,1.0528559545142508,0,1,68,1.0035770008935558,1,1,1960
47,2209,470,1945.8,31.0,15024,3004.8,1887,377.4,51.6,10.2,6.0,1.0954451150103321,1,41.0,5.0,2.2360679774997902,5,15024,2627.4,5,5,4,2,3,1,0,1887,0.0,0.0,10,0.9939053399066965,1,0,1,40,0,1343,0.0,7.543273346705446,0.0,2,1.04414817336935,-1887,-1887,1.0089112159421618,1.0528559545142508,0,1,39,1.0777521680001414,1,0,1947
48,2304,432,1957.6,30.0,7688,1537.6,0,0.0,44.2,10.0,5.0,1.2247448713915892,1,46.0,25.0,8.215838362577493,5,7688,1537.6,5,5,5,3,3,0,0,0,0.0,0.0,9,0.9838673729142733,1,0,0,40,0,1117,0.0,0.0,0.0,2,1.04414817336935,0,0,0.9537323176926488,1.0528559545142508,0,1,35,1.0035770008935558,1,0,1946
34,1156,510,1964.4,30.0,15024,3004.8,0,0.0,48.4,10.4,5.0,2.9664793948382653,1,28.0,25.0,13.038404810405298,5,15024,3004.8,5,5,4,3,2,1,15024,0,366.4390243902439,15024.0,15,1.275710722277246,2,1,0,40,0,1228,9.617470759403409,0.0,9.617470759403409,2,1.04414817336935,15024,15024,1.1555223960328442,1.0528559545142508,0,1,51,1.186144250090894,1,0,1960
31,961,279,1966.0,30.0,0,0.0,0,0.0,47.0,7.5,5.0,1.9148542155126764,0,41.25,25.0,13.149778198382917,4,0,0.0,4,4,4,4,3,0,0,0,0.0,0.0,9,0.9838673729142733,1,0,0,60,0,1373,0.0,0.0,0.0,4,1.04414817336935,0,0,0.9681661417192828,0.9118460632926051,1,0,45,1.0035770008935558,1,1,1963
50,2500,550,1948.5714285714287,9.0,15024,2146.285714285714,0,0.0,43.285714285714285,9.0,3.0,1.632993161855452,1,36.857142857142854,30.0,8.315218406203,7,15024,2146.285714285714,7,7,7,5,2,0,0,0,0.0,0.0,11,1.043616212670264,1,0,0,40,0,1143,0.0,0.0,0.0,0,0.7684787792083929,0,0,0.917267735257638,1.0528559545142508,4,0,39,1.007335485770721,1,0,1944
30,900,300,1953.6666666666667,42.0,0,0.0,2231,371.8333333333333,45.833333333333336,10.0,7.0,1.5491933384829668,1,41.666666666666664,18.0,4.08248290463863,6,0,-371.8333333333333,6,6,6,4,2,0,0,0,0.0,0.0,10,0.9939053399066965,1,0,0,40,0,1325,0.0,0.0,0.0,4,1.04414817336935,0,0,1.0178304237247136,1.0528559545142508,1,1,52,1.2113378085910274,1,0,1964
50,2500,500,1955.142857142857,35.0,4787,1348.142857142857,1902,271.7142857142857,43.714285714285715,10.714285714285714,4.0,1.9760470401187074,1,40.142857142857146,10.0,7.755182598937123,7,4787,1076.4285714285713,7,7,6,4,1,0,0,0,0.0,0.0,10,0.9939053399066965,1,0,0,40,0,1422,0.0,0.0,0.0,2,1.04414817336935,0,0,1.0089112159421618,1.0528559545142508,0,1,44,1.0035770008935558,1,0,1944
53,2809,530,1958.4285714285713,11.0,0,0.0,2415,345.0,49.714285714285715,10.428571428571429,4.0,1.2724180205607036,1,50.57142857142857,10.0,18.419709940325184,7,0,-345.0,7,7,4,3,2,0,0,0,0.0,0.0,10,0.9939053399066965,1,0,0,60,0,1164,0.0,0.0,0.0,2,1.04414817336935,0,0,1.0089112159421618,0.9358787864215786,0,1,37,1.0035770008935558,1,1,1941
39,1521,351,1949.142857142857,25.0,7298,1042.5714285714287,1902,271.7142857142857,41.857142857142854,10.142857142857142,6.0,2.853569193634025,1,36.714285714285715,5.0,16.79994331056195,7,7298,770.8571428571429,7,7,5,3,4,0,0,0,0.0,0.0,9,0.9838673729142733,1,0,0,50,0,1213,0.0,0.0,0.0,2,1.04414817336935,0,0,1.0353847772695624,1.0528559545142508,0,1,27,1.0035770008935558,1,1,1955
21,441,189,1962.1666666666667,30.0,0,0.0,0,0.0,50.166666666666664,11.166666666666666,5.0,2.714160398109638,0,40.0,25.0,7.4565407529228995,6,0,0.0,6,6,5,3,2,0,0,0,0.0,0.0,9,0.9838673729142733,1,0,0,32,0,1263,0.0,0.0,0.0,4,1.04414817336935,0,0,0.782337417291321,1.0528559545142508,3,0,51,1.0035770008935558,0,0,1973
33,1089,429,1947.857142857143,19.0,0,0.0,1902,271.7142857142857,39.142857142857146,11.0,5.0,2.0,1,50.714285714285715,20.0,14.556948921555023,7,0,-271.7142857142857,7,7,6,1,3,0,0,0,0.0,0.0,13,1.121037667320979,2,0,0,50,0,1246,0.0,0.0,0.0,2,1.04414817336935,0,0,1.1871085788033822,1.0528559545142508,0,1,39,1.0035770008935558,1,1,1961
47,2209,376,1950.2,45.0,3103,620.6,0,0.0,54.2,11.6,7.0,3.2093613071762426,1,46.0,10.0,8.94427190999916,5,3103,620.6,5,5,3,4,2,0,0,0,0.0,0.0,8,0.9302186496362864,0,0,0,40,0,1422,0.0,0.0,0.0,0,1.04414817336935,0,0,0.7506999537578937,0.9118460632926051,1,1,45,1.0035770008935558,1,0,1947
55,3025,825,1951.4285714285713,31.0,0,0.0,1902,271.7142857142857,38.714285714285715,11.428571428571429,6.0,4.1576092031015,1,35.714285714285715,20.0,17.42330131092924,7,0,-271.7142857142857,7,7,4,5,2,0,0,0,0.0,0.0,15,1.275710722277246,2,0,0,10,0,1223,0.0,0.0,0.0,2,1.04414817336935,0,0,1.1555223960328442,1.0528559545142508,5,0,52,1.1158397685377472,0,0,1939
21,441,210,1956.4,30.0,15024,3004.8,0,0.0,47.8,9.6,5.0,3.9115214431215892,1,49.0,25.0,9.246621004453464,5,15024,3004.8,5,5,3,3,2,0,0,0,0.0,0.0,10,0.9939053399066965,1,0,0,64,0,1312,0.0,0.0,0.0,4,1.04414817336935,0,0,1.0353847772695624,1.0528559545142508,2,1,47,1.0035770008935558,1,1,1973
42,1764,420,1957.0,30.0,0,0.0,2001,400.2,43.0,11.4,5.0,1.8165902124584952,1,45.0,25.0,8.660254037844387,5,0,-400.2,5,5,4,2,3,0,0,0,0.0,0.0,10,0.9939053399066965,1,0,0,40,0,1301,0.0,0.0,0.0,4,1.04414817336935,0,0,1.1871085788033822,1.0528559545142508,1,1,55,1.1158397685377472,1,0,1952
60,3600,360,1946.0,30.0,0,0.0,1977,395.4,45.6,9.4,5.0,2.5099800796022267,1,44.2,25.0,9.444575162494077,5,0,-395.4,5,5,5,2,3,1,0,1977,0.0,0.0,6,0.8060977572265259,0,0,1,44,0,1287,0.0,7.589841512182657,0.0,2,1.04414817336935,-1977,-1977,1.1871085788033822,1.0528559545142508,0,1,45,1.186144250090894,1,1,1934
30,900,270,1965.0,32.0,0,0.0,0,0.0,42.5,11.5,7.0,2.3804761428476167,0,38.25,33.0,2.362907813126305,4,0,0.0,4,4,3,3,2,0,0,0,0.0,0.0,9,0.9838673729142733,1,0,0,38,0,1261,0.0,0.0,0.0,3,1.04414817336935,0,0,0.782337417291321,0.9118460632926051,4,0,49,1.0035770008935558,1,0,1964
53,2809,477,1952.142857142857,40.0,0,0.0,0,0.0,42.714285714285715,9.0,6.0,1.5275252316519468,0,46.0,28.0,7.094598884597588,7,0,0.0,7,7,5,2,3,0,0,0,0.0,0.0,9,0.9838673729142733,1,0,0,35,0,1031,0.0,0.0,0.0,2,1.04414817336935,0,0,1.1871085788033822,1.0528559545142508,0,1,59,1.0035770008935558,1,0,1941
48,2304,480,1943.4,30.0,0,0.0,0,0.0,48.2,10.4,6.0,4.09878030638384,0,41.8,24.0,9.85900603509299,5,0,0.0,5,5,4,2,3,0,0,0,0.0,0.0,10,0.9939053399066965,1,0,0,40,0,1236,0.0,0.0,0.0,2,1.04414817336935,0,0,1.0178304237247136,1.0528559545142508,0,1,53,1.0035770008935558,1,0,1946
32,1024,288,1953.75,30.0,7688,3216.5,0,0.0,55.0,9.5,5.0,2.516611478423583,1,46.25,25.0,9.464847243000458,4,7688,3216.5,4,4,3,3,3,0,0,0,0.0,0.0,9,0.9838673729142733,1,0,0,45,0,1378,0.0,0.0,0.0,4,1.04414817336935,0,0,0.9537323176926488,1.0528559545142508,1,1,64,1.0035770008935558,1,1,1962
44,1936,396,1948.0,30.0,7688,1281.3333333333333,0,0.0,46.833333333333336,11.0,5.0,2.280350850198276,1,43.0,25.0,4.690415759823429,6,7688,1281.3333333333333,6,6,6,1,4,0,0,0,0.0,0.0,9,0.9838673729142733,1,0,0,40,0,1113,0.0,0.0,0.0,2,1.04414817336935,0,0,1.0594645689164577,1.0528559545142508,0,1,41,1.007335485770721,1,0,1950
58,3364,232,1952.5714285714287,29.0,20051,2864.4285714285716,0,0.0,46.285714285714285,10.714285714285714,4.0,3.9880774697543058,1,46.42857142857143,25.0,12.817398889233116,7,20051,2864.4285714285716,7,7,6,4,4,0,0,0,0.0,0.0,4,0.7176676931532536,0,0,0,40,0,1339,0.0,0.0,0.0,2,1.04414817336935,0,0,1.0089112159421618,1.0528559545142508,0,1,51,1.1158397685377472,1,0,1936
18,324,144,1955.4285714285713,31.0,0,0.0,0,0.0,42.0,9.714285714285714,7.0,1.6035674514745466,0,40.285714285714285,25.0,9.322272357358043,7,0,0.0,7,7,5,4,1,0,0,0,0.0,0.0,8,0.9302186496362864,0,0,0,25,0,1427,0.0,0.0,0.0,4,1.04414817336935,0,0,0.782337417291321,1.0528559545142508,3,1,38,1.0035770008935558,0,0,1976
67,4489,871,1951.0,43.0,15024,4314.428571428572,2392,341.7142857142857,37.42857142857143,11.714285714285714,10.0,1.6035674514745464,1,51.857142857142854,43.0,17.817861557330346,7,15024,3972.714285714286,7,7,5,3,4,1,0,2392,0.0,0.0,13,1.121037667320979,2,0,1,75,0,1195,0.0,7.780303087908373,0.0,2,1.04414817336935,-2392,-2392,1.1871085788033822,1.0528559545142508,0,1,31,1.186144250090894,1,1,1927
50,2500,450,1946.8,28.0,0,0.0,0,0.0,51.4,11.2,7.0,2.2803508501982757,0,43.0,30.0,4.47213595499958,5,0,0.0,5,5,5,2,2,0,0,0,0.0,0.0,9,0.9838673729142733,1,0,0,40,0,1182,0.0,0.0,0.0,2,1.04414817336935,0,0,1.0178304237247136,1.0528559545142508,0,1,44,1.0035770008935558,1,0,1944
38,1444,342,1953.0,45.0,3471,578.5,0,0.0,40.5,10.166666666666666,7.0,1.4719601443879746,1,52.333333333333336,35.0,26.807959017177467,6,3471,578.5,6,6,4,3,2,0,0,0,0.0,0.0,9,0.9838673729142733,1,0,0,60,0,1346,0.0,0.0,0.0,4,1.04414817336935,0,0,1.1555223960328442,1.0528559545142508,1,1,27,1.0035770008935558,1,1,1956
50,2500,450,1959.5,26.0,0,0.0,0,0.0,51.5,11.5,7.0,1.9148542155126762,0,40.0,30.0,10.801234497346433,4,0,0.0,4,4,4,3,2,0,0,0,0.0,0.0,9,0.9838673729142733,1,0,0,35,0,1022,0.0,0.0,0.0,0,1.04414817336935,0,0,0.917267735257638,1.0528559545142508,4,0,63,1.0035770008935558,1,0,1944
58,3364,580,1951.25,30.0,7688,1922.0,0,0.0,31.5,10.5,5.0,1.7320508075688774,1,41.25,25.0,2.4999999999999996,4,7688,1922.0,4,4,3,3,3,1,7688,0,167.1304347826087,7688.0,10,0.9939053399066965,1,1,0,45,0,1129,8.94754601503218,0.0,8.94754601503218,2,1.04414817336935,7688,7688,1.1871085788033822,1.0528559545142508,0,1,26,1.0035770008935558,1,1,1936
22,484,154,1949.4285714285713,31.0,14084,2012.0,0,0.0,41.142857142857146,11.142857142857142,9.0,2.734262327610589,1,43.42857142857143,25.0,3.952094080237414,7,14084,2012.0,7,7,6,2,2,0,0,0,0.0,0.0,7,0.8248866576363352,0,0,0,40,0,1443,0.0,0.0,0.0,4,1.04414817336935,0,0,0.9681661417192828,1.0528559545142508,1,1,44,1.0035770008935558,1,0,1972
39,1521,195,1955.3333333333333,38.0,99999,19099.166666666668,0,0.0,41.833333333333336,10.5,4.0,3.449637662132068,1,42.0,20.0,4.0,6,99999,19099.166666666668,6,6,5,1,4,0,0,0,0.0,0.0,5,0.8554613443130139,0,0,0,40,0,1408,0.0,0.0,0.0,2,1.04414817336935,0,0,0.9537323176926488,1.0528559545142508,0,1,48,1.2113378085910274,1,0,1955
42,1764,378,1947.2857142857142,23.0,20051,2864.4285714285716,1628,232.57142857142858,50.42857142857143,11.142857142857142,6.0,2.0354009783964293,1,50.42857142857143,28.0,23.55035132687085,7,20051,2631.8571428571427,7,7,3,4,4,0,0,0,0.0,0.0,9,0.9838673729142733,1,0,0,40,0,1365,0.0,0.0,0.0,0,1.04414817336935,0,0,0.917267735257638,0.9118460632926051,1,1,36,1.2113378085910274,1,0,1952
